	Epic	Year	Reporting date	Tangible assets	Intangible asssets and goodwill	Investments and other non-current assets	Total non-current assets	Inventory / Work in progress	Trade and other receivables	Cash and Equivalents	Other current assets and asset held for resale	Total of all ASSETS	Short term liabilities	Long term liabilities	Other liabilites / pension etc	Total of all LIABILITIES		Net assets	Share Capital	Minority Interests	Retained earnings	Share premium account	Other Equity	Total EQUITY	Cash from operating activities	Cashflow before financing	Increase / Decrease in Cash	Turnover	Cost of sales	Gross Profit	Operating Profit	Pre-Tax profit	Profit / Loss for the year
0	LSE	2017	31 Dec 2017	129	4590	244	4963	0	688	1381	734948	741980	736172	2056	0	738228		3752	24	525	419	964	1820	3752	659	-162	216	1955	215	1740	626	564	561
1	LSE	2016	31 Dec 2016	108	4124	189	4421	3	637	1151	558584	564796	559760	1422	0	561182		3614	24	508	259	961	1861	3614	221	464	-214	1657	175	1482	427	364	193
2	LSE	2015	31 Dec 2015	94	3704	190	3988	4	331	924	458005	463251	458051	1465	539	460055		3196	24	452	255	960	1505	3196	498	412	90	1419	126	1293	404	336	357
3	LSE	2014	31 Mar 2014	93	2476	107	2676	1	251	919	503817	507663	504449	1258	0	505706		1957	19	430	-79	0	1587	1957	325	297	492	1210	0	0	353	284	183
4	LSE	2014.1	31 Mar 2014	93	2476	107	2676	1	251	919	503817	507663	504449	1258	0	505706		1957	19	430	-79	0	1587	1957	325	297	492	1210	0	0	353	284	183
0	MAB	2017	30 Sep 2017	4429	10	152	4591	24	53	147	123	4938	625	2687	0	3312		1626	36	0	590	26	974	1626	226	103	-11	2180	0	0	208	77	63
1	MAB	2016	24 Sep 2016	4423	9	197	4629	25	32	158	121	4965	648	2909	0	3557		1408	35	0	527	27	819	1408	222	60	-7	2086	0	0	231	94	89
2	MAB	2015	26 Sep 2015	4242	10	177	4429	24	46	163	120	4782	635	2876	0	3511		1271	35	0	500	26	710	1271	243	-34	-92	2101	0	0	270	126	103
3	MAB	2014	27 Sep 2014	4242	18	155	4415	27	60	255	0	4757	619	2953	0	3572		1185	35	0	394	24	732	1185	217	-174	-85	1970	0	0	264	123	93
4	MAB	2013	28 Sep 2013	3895	5	112	4012	24	72	340	25	4473	423	2831	0	3254		1219	35	0	468	23	693	1219	212	85	29	1895	0	0	283	150	135
0	MARS	2017	30 Sep 2017	2361	298	11	2670	40	108	55	123	2995	440	1624	0	2064		931	49	0	85	334	464	931	214	-131	-131	1011	0	0	170	100	85
1	MARS	2016	01 Oct 2016	2199	265	27	2491	29	85	186	7	2797	413	1632	0	2045		752	44	0	23	334	351	752	183	87	1	937	0	0	164	81	73
2	MARS	2015	03 Oct 2015	2123	265	95	2483	28	84	193	18	2806	372	1651	0	2023		783	44	0	29	334	376	783	162	64	11	879	0	0	114	31	23
3	MARS	2014	04 Oct 2014	1990	249	68	2308	23	73	173	38	2615	335	1522	0	1856		759	44	0	48	334	333	759	0	0	0	815	0	0	49	-59	-51
4	MARS	2013	05 Oct 2013	2064	248	60	2372	22	69	94	67	2623	230	1552	0	1781		842	44	0	108	334	356	842	169	65	33	783	0	0	147	70	59
0	MCRO	2017	30 Apr 2017	41	3918	245	4204	0	290	151	2	4646	945	2088	0	3032		1613	40	1	902	192	479	1613	452	-137	-516	1381	237	1144	293	196	158
1	MCRO	2016	30 Apr 2016	41	3403	238	3681	0	268	667	19	4636	1062	1980	0	3042		1594	40	1	228	190	1134	1594	285	231	426	1245	135	1110	295	195	163
