	Epic	Year	Reporting date	Tangible assets	Intangible asssets and goodwill	Investments and other non-current assets	Total non-current assets	Inventory / Work in progress	Trade and other receivables	Cash and Equivalents	Other current assets and asset held for resale	Total of all ASSETS	Short term liabilities	Long term liabilities	Other liabilites / pension etc	Total of all LIABILITIES		Net assets	Share Capital	Minority Interests	Retained earnings	Share premium account	Other Equity	Total EQUITY	Cash from operating activities	Cashflow before financing	Increase / Decrease in Cash	Turnover	Cost of sales	Gross Profit	Operating Profit	Pre-Tax profit	Profit / Loss for the year
4	GSK	2013	31 Dec 2013	8872	13488	4499	26859	3900	5442	5534	351	42086	13677	20597	0	34274		7812	1336	815	913	2595	2153	7812	7222	7746	1473	26505	8585	17920	7028	6647	5628
0	HL.	2017	30 Jun 2017	12	13	2	27	0	629	81	4	742	433	1	0	434		308	2	1	304	0	1	308	226	33	-130	386	0	0	261	266	212
1	HL.	2016	30 Jun 2016	11	8	3	22	0	617	211	1	852	597	0	0	597		254	2	0	255	0	-3	254	165	158	-5	388	62	327	218	219	177
2	HL.	2015	30 Jun 2015	12	6	6	24	0	412	217	1	653	416	0	0	416		237	2	1	235	0	-0	237	171	166	16	395	0	0	198	199	157
3	HL.	2014	30 Jun 2014	13	4	7	24	0	304	201	1	530	301	0	0	301		228	2	1	229	0	-3	228	167	161	23	358	0	0	208	210	163
4	HL.	2013	30 Jun 2013	10	2	7	19	0	264	198	1	481	284	0	0	284		197	2	1	203	0	-8	197	157	155	40	292	0	0	1	195	149
0	HLMA	2017	01 Apr 2017	106	838	60	1004	119	212	67	1	1403	159	465	0	624		779	38	0	580	24	137	779	172	129	12	962	0	0	167	158	130
1	HLMA	2016	02 Apr 2016	97	776	48	921	105	184	54	1	1265	149	469	0	619		646	38	0	524	24	61	646	149	-83	8	808	0	0	143	136	109
2	HLMA	2015	28 Mar 2015	86	545	33	664	80	156	41	1	943	129	264	0	394		549	38	0	454	24	33	549	137	25	6	726	0	0	137	134	104
3	HLMA	2014	29 Mar 2014	74	448	26	548	71	135	35	1	790	108	195	0	304		486	38	0	421	23	5	486	122	86	-15	677	0	0	144	139	106
4	HLMA	2013	30 Mar 2013	77	486	34	597	70	134	50	0	850	121	276	0	397		453	38	0	353	23	40	453	108	-41	3	619	0	0	118	122	95
0	HSBA	2017	31 Dec 2017	29464	23453	27420	80337	0	1053357	180624	1207453	2521771	0	0	2323900	2323900		197871	10160	7621	139999	10177	29914	197871	-10748	54809	44629	63776	0	0	14792	17167	11879
1	HSBA	2016	31 Dec 2016	24756	21346	26192	72294	0	949630	128009	1225053	2374986	0	0	2192408	2192408		182578	10096	7192	136795	12619	15876	182578	68959	53899	44981	59836	0	0	4758	7112	3446
2	HSBA	2015	31 Dec 2015	23852	24605	25190	73647	0	1014855	98934	1222220	2409656	0	0	2212138	2212138		197518	9842	9058	143976	12421	22221	197518	-1122	-40034	-43611	71902	0	0	16311	18867	15096
3	HSBA	2014	31 Dec 2014	29037	27577	26601	83215	0	1086809	129957	1334158	2634139	0	0	2434161	2434161		199978	9609	9531	137144	11918	31776	199978	-21372	-26333	-28201	74593	0	0	16148	18680	14705
4	HSBA	2013	31 Dec 2013	10847	29918	35102	75867	0	1080304	166599	1348548	2671318	0	0	2480859	2480859		190459	9415	8588	128728	11135	32593	190459	44977	38392	31411	78337	0	0	20240	22565	17800
0	IAG	2017	31 Dec 2017	11846	3018	2174	17038	432	1494	3292	5005	27261	9692	10173	0	19865		7396	1029	307	0	6022	38	7396	3513	1969	141	22972	0	0	2727	2493	2021
1	IAG	2016	31 Dec 2016	12227	3037	2324	17588	458	1405	3337	4585	27373	9336	12373	0	21709		5664	1066	308	0	6105	-1815	5664	2645	896	596	22567	0	0	2484	2362	1952
2	IAG	2015	31 Dec 2015	13672	3246	2222	19140	520	1196	2909	4464	28229	11366	11329	0	22695		5534	1020	308	0	5867	-1661	5534	1968	584	1304	22858	0	0	2318	1801	1516
3	IAG	2014	31 Dec 2014	11784	2438	2003	16225	424	1252	1528	4223	23652	9801	10058	0	19859		3793	1020	308	0	5867	-3402	3793	1862	-1068	-111	20170	0	0	1029	828	1003
4	IAG	2013	31 Dec 2013	10228	2196	2335	14759	411	1196	1541	2870	20777	8317	8244	0	16561		4216	1020	307	0	5825	-2936	4216	1218	-717	121	18569	0	0	527	227	147
0	IHG	2017	31 Dec 2017	425	1467	444	2336	3	551	168	117	3175	1304	2722	0	4026		-851	154	7	1405	0	-2417	-851	634	371	-75	1784	608	1176	763	678	593
1	IHG	2016	31 Dec 2016	419	1292	438	2149	3	472	206	97	2927	1134	2552	0	3686		-759	141	8	1392	0	-2300	-759	752	536	-920	1715	580	1135	678	591	417
2	IHG	2015	31 Dec 2015	428	1226	509	2163	3	462	1137	4	3769	1369	2081	0	3450		319	169	10	2653	0	-2513	319	628	1217	1107	1803	0	0	1499	1412	1224
3	IHG	2014	31 Dec 2014	741	643	500	1884	3	448	162	321	2818	943	2498	94	3535		-717	178	8	1636	0	-2539	-717	543	666	-70	1858	0	0	680	600	392
4	IHG	2013	31 Dec 2013	1169	518	452	2139	4	423	134	253	2953	814	2213	0	3027		-74	189	8	2334	0	-2605	-74	624	799	-58	1903	784	1119	673	600	374
0	III	2018	31 Mar 2018	4	12	6781	6797	0	0	972	130	7899	167	708	0	875		7024	719	0	778	786	4741	7024	312	338	50	0	0	0	0	728	0
1	III	2017	31 Mar 2017	5	0	5714	5719	0	0	931	63	6713	130	747	0	877		5836	719	0	689	785	3643	5836	243	470	-87	0	0	0	0	604	0
2	III	2016	31 Mar 2016	5	12	4763	4780	0	0	962	121	5863	493	915	0	1408		4455	719	0	0	784	2952	4455	352	311	74	0	0	0	0	466	0
3	III	2015	31 Mar 2015	4	19	4080	4103	0	0	864	109	5076	179	1091	0	1270		3806	719	0	0	784	2303	3806	416	416	179	0	0	0	0	401	0
4	III	2014	31 Mar 2014	5	26	3722	3753	0	0	697	94	4544	236	1000	0	1236		3308	718	0	0	782	1808	3308	277	369	59	0	0	0	0	348	0
0	IMB	2017	30 Sep 2017	1865	19763	2466	24094	3604	2539	624	129	30990	10878	13886	0	24764		6226	104	542	-965	5717	828	6226	3065	2778	-601	30247	23820	6427	2278	1861	1447
1	IMB	2016	30 Sep 2016	1959	20704	2532	25195	3498	2671	1274	91	32729	10125	16862	0	26987		5742	104	431	-1525	5836	896	5742	3157	2975	-956	27634	21678	5956	2229	907	669
2	IMB	2015	30 Sep 2015	1768	18690	2208	22666	2842	2454	2042	130	30134	9141	15297	0	24438		5696	104	369	-315	5836	-298	5696	2747	-2040	686	25289	20118	5171	1988	1756	1723
3	IMB	2014	30 Sep 2014	1862	15859	982	18703	2935	2806	1431	134	26009	7813	12719	0	20532		5477	104	412	-756	5836	-119	5477	2548	2274	-385	26625	21350	5275	2064	1520	1451
4	IMB	2013	30 Sep 2013	2080	17382	568	20030	3296	2966	1809	317	28418	11082	11688	0	22770		5648	107	56	-795	5833	447	5648	2352	2036	1323	28269	22740	5529	1958	1261	961
0	INF	2017	31 Dec 2017	32	4310	15	4357	54	401	55	25	4892	1190	1471	0	2661		2231	1	11	2939	905	-1625	2231	434	150	10	1758	0	0	345	269	314
1	INF	2016	31 Dec 2016	24	4479	17	4520	52	358	50	31	5012	1048	1776	0	2824		2188	1	1	2777	905	-1497	2188	336	-1066	-10	1346	0	0	199	178	174
2	INF	2015	31 Dec 2015	17	2678	38	2733	45	243	34	4	3060	650	1142	0	1792		1268	1	2	2748	204	-1687	1268	334	152	0	1212	0	0	237	220	173
3	INF	2014	31 Dec 2014	18	2530	31	2578	45	219	39	4	2885	658	995	0	1653		1232	1	2	2699	204	-1673	1232	242	-145	1	1137	0	0	-2	-31	-51
4	INF	2013	31 Dec 2013	17	2378	38	2433	42	203	32	3	2713	554	968	0	1522		1191	1	1	2433	2	-1246	1191	230	124	9	1132	0	0	147	116	-6
0	ITRK	2017	31 Dec 2017	421	758	60	1238	18	642	137	17	2052	608	700	0	1308		744	2	35	460	258	-10	744	450	306	7	2769	0	0	423	393	306
1	ITRK	2016	31 Dec 2016	443	785	49	1277	19	652	176	23	2146	600	944	0	1544		602	2	35	273	258	35	602	420	280	-6	2567	0	0	370	347	272
2	ITRK	2015	31 Dec 2015	365	632	43	1040	16	584	116	16	1771	537	895	0	1432		339	2	28	110	258	-58	339	345	5	8	2166	0	0	-284	-308	-347
3	ITRK	2014	31 Dec 2014	363	955	26	1344	15	527	120	14	2019	468	744	0	1212		807	2	26	547	258	-26	807	292	144	3	2093	0	0	277	252	190
4	ITRK	2013	31 Dec 2013	337	907	30	1274	12	511	116	17	1930	400	774	0	1173		757	2	24	487	258	-14	757	269	19	-45	2184	0	0	310	282	217
0	ITV	2017	31 Dec 2017	256	1645	188	2089	570	541	126	25	3351	1277	1344	0	2621		730	403	45	-138	174	246	730	456	327	-426	3132	0	0	555	500	413
1	ITV	2016	31 Dec 2016	244	1624	164	2032	406	565	561	19	3583	1280	1548	0	2828		755	403	33	-162	174	307	755	647	473	302	3064	0	0	604	553	452
2	ITV	2015	31 Dec 2015	239	1500	67	1806	373	564	294	14	3051	947	957	0	1904		1147	403	33	275	174	262	1147	489	156	2	2972	0	0	666	641	502
3	ITV	2014	31 Dec 2014	248	1129	86	1463	367	409	297	11	2547	912	571	0	1483		1064	403	50	177	174	260	1064	508	263	-222	2590	0	0	651	605	473
4	ITV	2013	31 Dec 2013	259	954	107	1320	322	402	518	32	2594	867	838	0	1705		889	403	31	22	174	259	889	467	481	-175	2389	0	0	546	435	330
0	JE.	2017	31 Dec 2017	19	639	64	722	3	24	265	1	1015	249	40	0	288		727	7	8	66	563	83	727	167	131	134	546	96	450	-73	-76	-104
1	JE.	2016	31 Dec 2016	12	829	48	889	2	27	131	0	1048	152	71	0	223		826	7	8	161	562	88	826	97	-71	-68	376	35	341	73	91	71
2	JE.	2015	31 Dec 2015	9	530	23	562	1	11	193	0	766	109	31	0	140		626	7	0	81	556	-17	626	74	-391	34	248	24	223	36	35	23
3	JE.	2014	31 Dec 2014	7	64	16	87	1	10	164	1	264	66	14	0	80		184	6	1	63	121	-6	184	38	19	103	157	16	141	19	57	52
0	JMAT	2018	31 Mar 2018	1155	869	404	2428	783	1227	329	51	4818	1273	1167	0	2440		2378	221	0	1994	148	15	2378	386	186	-18	14122	13214	908	359	320	298
1	JMAT	2017	31 Mar 2017	1235	895	267	2397	772	1139	330	28	4667	1190	1261	0	2450		2217	221	-20	1777	148	91	2217	523	252	6	12031	11188	843	493	462	385
2	JMAT	2016	31 Mar 2016	1086	795	235	2116	654	948	305	35	4057	1146	1077	0	2223		1835	221	-19	1541	148	-57	1835	867	834	271	10714	9947	767	419	386	326
3	JMAT	2015	31 Mar 2015	1081	736	130	1946	859	1131	59	184	4180	1297	1082	0	2380		1800	221	-11	1517	148	-76	1800	126	-45	-174	10060	9242	818	533	496	427
4	JMAT	2014	31 Mar 2014	1023	754	123	1901	673	955	222	39	3789	1190	1046	0	2236		1553	221	-6	1271	148	-81	1553	477	259	164	11155	10356	799	448	407	339
0	KGF	2018	31 Jan 2018	3736	2792	297	6825	2701	550	230	41	10347	3050	549	0	3599		6748	340	0	3790	2228	390	6748	293	-70	-596	11655	7352	4303	685	682	485
1	KGF	2017	31 Jan 2017	3589	2707	376	6672	2173	551	795	42	10233	2739	723	0	3462		6771	352	0	3837	2221	361	6771	781	533	38	11225	7050	4175	773	759	610
2	KGF	2016	31 Jan 2016	3212	2673	417	6302	1957	568	730	137	9694	2648	860	0	3508		6186	361	0	3637	2218	-30	6186	813	599	127	10441	6545	3896	526	512	412
3	KGF	2015	31 Jan 2015	3203	2672	321	6196	2021	537	561	398	9713	2733	741	0	3474		6239	369	10	3661	2214	-15	6239	660	609	55	10966	6918	4048	652	644	573
4	KGF	2014	01 Feb 2014	3625	2639	149	6413	2054	590	535	228	9820	2790	713	0	3503		6317	373	9	3495	2209	231	6317	834	533	153	11125	7005	4120	736	759	710
0	LAND	2018	31 Mar 2018	12336	34	1527	13897	0	471	62	39	14469	1180	2797	0	3977		10492	80	0	10069	317	26	10492	445	803	32	852	343	509	478	-251	-252
1	LAND	2017	31 Mar 2017	12144	36	2073	14253	0	418	30	143	14844	713	2615	0	3328		11516	80	0	10615	791	30	11516	386	469	5	787	266	521	365	112	113
2	LAND	2016	31 Mar 2016	12363	38	1976	14377	0	445	25	143	14990	327	2964	0	3291		11699	80	0	10801	790	28	11699	433	1282	10	943	409	533	1347	1336	1338
3	LAND	2015	31 Mar 2015	12168	35	1742	13944	0	403	14	516	14877	568	3703	0	4271		10606	80	0	9709	789	28	10606	234	-178	-7	770	307	464	2347	2417	2417
4	LAND	2014	31 Mar 2014	9855	0	1722	11577	0	366	21	207	12172	845	2909	0	3753		8418	80	0	7523	788	28	8418	159	670	-21	717	253	463	1093	1109	1117
0	LGEN	2017	31 Dec 2017	59	149	452031	452239	0	5703	18919	29016	505877	0	0	497958	497958		7919	149	76	6578	988	128	7919	4411	4397	3912	40491	0	0	2061	2061	1902
1	LGEN	2016	31 Dec 2016	76	166	428713	428955	0	5583	25717	7599	467854	0	0	460571	460571		7283	149	338	5633	981	182	7283	5936	5556	-948	77969	0	0	1867	1867	1265
2	LGEN	2015	31 Dec 2015	92	375	368372	368839	0	4120	20677	3163	396799	0	0	390106	390106		6693	149	289	5220	976	59	6693	-823	-1005	-1537	12701	0	0	1600	1414	1094
3	LGEN	2014	31 Dec 2014	146	421	370851	371418	0	2906	22709	2520	399553	0	0	393250	393250		6303	149	275	4830	969	80	6303	5487	5348	5270	51517	0	0	1596	1413	992
4	LGEN	2013	31 Dec 2013	6189	381	333378	339948	0	2897	17407	2912	363164	0	0	357464	357464		5700	148	58	4517	959	18	5700	1332	1119	755	39251	0	0	1478	1315	896
0	LLOY	2017	31 Dec 2017	12727	9984	100756	123467	0	482752	58521	147369	812109	0	0	762966	762966		49143	7197	237	4905	17634	19170	49143	0	0	0	34237	0	0	5275	5275	3547
1	LLOY	2016	31 Dec 2016	12972	8739	59600	81311	0	488257	47452	200773	817793	0	0	768978	768978		48815	7146	440	3600	17622	20007	48815	0	0	0	39611	0	0	4238	4238	2514
2	LLOY	2015	31 Dec 2015	12979	8450	38627	60056	0	484483	58417	203732	806688	0	0	759708	759708		46980	7146	391	4416	17412	17615	46980	16372	13062	6806	23150	0	0	2034	1644	956
3	LLOY	2014	31 Dec 2014	8052	8950	26986	43988	0	510072	50492	250344	854896	0	0	804993	804993		49903	7146	1213	5692	17281	18571	49903	10353	2631	-1650	29892	0	0	2514	1762	1499
4	LLOY	2013	31 Dec 2013	7570	9630	10097	27297	0	522001	49915	247817	847030	0	0	807694	807694		39336	7415	347	4088	17279	10207	39336	-15531	-31140	-34261	37985	0	0	3156	415	-802
0	LSE	2017	31 Dec 2017	129	4590	244	4963	0	688	1381	734948	741980	736172	2056	0	738228		3752	24	525	419	964	1820	3752	659	-162	216	1955	215	1740	626	564	561
1	LSE	2016	31 Dec 2016	108	4124	189	4421	3	637	1151	558584	564796	559760	1422	0	561182		3614	24	508	259	961	1861	3614	221	464	-214	1657	175	1482	427	364	193
2	LSE	2015	31 Dec 2015	94	3704	190	3988	4	331	924	458005	463251	458051	1465	539	460055		3196	24	452	255	960	1505	3196	498	412	90	1419	126	1293	404	336	357
3	LSE	2014	31 Mar 2014	93	2476	107	2676	1	251	919	503817	507663	504449	1258	0	505706		1957	19	430	-79	0	1587	1957	325	297	492	1210	0	0	353	284	183
4	LSE	2014.1	31 Mar 2014	93	2476	107	2676	1	251	919	503817	507663	504449	1258	0	505706		1957	19	430	-79	0	1587	1957	325	297	492	1210	0	0	353	284	183
0	MCRO	2017	30 Apr 2017	41	3918	245	4204	0	290	151	2	4646	945	2088	0	3032		1613	40	1	902	192	479	1613	452	-137	-516	1381	237	1144	293	196	158
1	MCRO	2016	30 Apr 2016	41	3403	238	3681	0	268	667	19	4636	1062	1980	0	3042		1594	40	1	228	190	1134	1594	285	231	426	1245	135	1110	295	195	163
2	MCRO	2015	30 Apr 2015	43	3554	283	3880	0	219	241	1	4341	988	2075	0	3063		1278	40	1	-96	16	1318	1278	240	379	209	835	91	743	147	91	101
3	MCRO	2014	30 Apr 2014	22	401	43	465	0	107	33	0	605	568	53	0	621		-16	38	0	-140	15	72	-16	175	121	-5	433	30	403	156	148	122
4	MCRO	2013	30 Apr 2013	21	378	38	438	0	93	38	0	568	460	49	0	508		60	38	0	-64	16	70	60	167	129	8	414	34	380	161	153	123
0	MDC	2018	31 Mar 2018	3590	1406	386	5382	90	607	261	3	6343	525	2445	0	2970		3373	74	87	5057	690	-2535	3373	345	26	-82	2870	1773	1097	-288	-479	-474
1	MDC	2017	31 Mar 2017	3703	2156	494	6353	90	591	361	27	7422	590	2668	0	3258		4164	74	78	5525	690	-2203	4164	394	176	7	2749	1696	1053	362	307	243
2	MDC	2016	31 Mar 2016	3199	1927	478	5604	75	561	305	4	6549	787	2192	0	2979		3570	74	61	5320	690	-2575	3570	320	-1229	13	2107	0	0	288	245	190
3	MDC	2014	31 Dec 2014	59	33	3	95	20	115	83	14	328	74	16	0	90		238	18	5	215	694	-693	238	79	1	-25	0	0	0	0	0	0
4	MDC	2013	31 Dec 2013	27	21	0	49	16	86	108	1	260	66	14	0	80		180	18	1	160	694	-693	180	86	70	52	365	211	155	74	62	62
0	MKS	2018	31 Mar 2018	4394	599	1239	6232	781	308	208	21	7550	1826	2770	0	4596		2954	406	-3	6531	416	-4397	2954	850	534	-232	10698	0	0	157	67	29
1	MKS	2017	01 Apr 2017	4838	709	1022	6569	759	319	469	178	8293	2368	2774	0	5142		3150	406	-6	6648	416	-4314	3150	1068	696	205	10622	0	0	253	176	116
2	MKS	2016	02 Apr 2016	5027	803	1185	7015	800	321	248	93	8476	2105	2928	0	5033		3443	406	-2	6928	411	-4299	3443	1212	636	5	10555	0	0	763	489	404
3	MKS	2015	28 Mar 2015	5031	858	852	6741	798	322	206	130	8196	2112	2886	0	4997		3199	412	-1	6671	392	-4275	3199	1278	629	14	10311	0	0	701	600	482
4	MKS	2014	29 Mar 2014	5140	808	586	6535	846	310	182	31	7903	2349	2847	0	5196		2707	408	-1	6325	356	-4381	2707	1130	515	17	10310	0	0	695	580	506
0	MNDI	2017	31 Dec 2017	3962	809	383	5154	867	1106	38	44	7209	1525	1645	0	3170		4039	542	325	3172	0	0	4039	0	0	0	7096	3981	3115	957	887	714
1	MNDI	2016	31 Dec 2016	3788	801	377	4966	850	1049	404	41	7310	1918	1696	0	3614		3696	542	304	0	2850	0	3696	1229	564	345	6662	3748	2914	943	843	686
2	MNDI	2015	31 Dec 2015	3554	695	277	4526	838	994	64	47	6469	1453	1829	0	3282		3187	542	282	2363	0	0	3187	1119	486	32	6819	3925	2894	900	796	645
3	MNDI	2014	31 Dec 2014	3432	658	277	4367	843	966	56	116	6348	1323	2131	0	3454		2894	542	266	0	0	2086	2894	929	286	-54	6402	3813	2589	728	619	497
4	MNDI	2013	31 Dec 2013	3428	675	271	4374	746	954	130	36	6240	1296	2098	0	3394		2846	542	255	2049	0	0	2846	911	498	87	6476	3914	2562	605	499	414
0	MRO	2017	31 Dec 2017	219	2238	56	2512	275	332	16	10	3146	467	794	0	1261		1885	133	0	2538	1493	-2279	1885	32	-15	-23	2092	1439	653	-7	-28	-24
1	MRO	2016	31 Dec 2016	272	2667	60	2999	297	366	42	4	3708	579	965	0	1545		2163	129	0	2686	1493	-2145	2163	51	-1085	-2413	889	626	263	-62	-69	-39
2	MRO	2015	31 Dec 2015	113	273	27	413	56	68	2451	1	2989	88	55	0	143		2845	10	0	2702	0	133	2845	31	3247	2371	261	179	82	5	-31	1408
3	MRO	2014	31 Dec 2014	200	2405	85	2690	167	258	71	4	3188	452	1163	0	1615		1574	1	3	1268	0	302	1574	117	327	-129	1378	875	503	162	129	195
4	MRO	2013	31 Dec 2013	241	2612	91	2945	235	293	200	5	3677	524	965	0	1489		2188	1	2	1775	0	409	2188	136	973	41	1733	1126	607	220	171	565
0	MRW	2018	04 Feb 2018	7243	428	714	8385	686	250	327	19	9667	3081	2041	0	5122		4545	236	0	1533	159	2617	4545	744	364	1	17262	16629	633	458	380	311
1	MRW	2017	29 Jan 2017	7227	445	398	8070	614	214	326	22	9246	2864	2319	0	5183		4063	234	0	1084	128	2617	4063	978	696	-161	16317	15713	604	468	325	305
2	MRW	2016	31 Jan 2016	7161	483	347	7991	616	192	488	12	9299	2747	2796	0	5543		3756	234	0	778	127	2617	3756	886	853	247	16122	15505	617	314	217	222
3	MRW	2015	01 Feb 2015	7252	520	171	7943	658	239	241	90	9171	2273	3304	0	5577		3594	234	0	616	127	2617	3594	874	808	-18	16816	16055	761	-696	-792	-761
4	MRW	2014	02 Feb 2014	8625	458	216	9299	852	316	261	1	10729	2873	3164	0	6037		4692	234	0	1714	127	2617	4692	715	-330	-5	17680	16606	1074	-95	-176	-238
0	NG.	2018	31 Mar 2018	39853	6343	5910	52106	341	2798	329	3213	58787	8697	31242	0	39939		18848	452	16	21599	1321	-4540	18848	4503	6740	-807	15250	0	0	3493	2708	3551
1	NG.	2017	31 Mar 2017	39825	7019	5422	52266	403	2782	1139	9250	65840	10511	34945	0	45456		20384	449	16	22582	1324	-3987	20384	5229	915	984	15035	0	0	3208	2807	7794
2	NG.	2016	31 Mar 2016	43364	6202	3056	52622	437	2472	127	3276	58934	7721	37648	0	45369		13565	447	10	16305	1326	-4523	13565	5368	1332	4	15115	0	0	4085	3032	2594
3	NG.	2015	31 Mar 2015	40723	5947	2388	49058	340	2836	119	2736	55089	7374	35741	0	43115		11974	443	12	14870	1331	-4682	11974	5007	3006	-247	15201	0	0	3780	2876	2011
4	NG.	2014	31 Mar 2014	37179	5263	2453	44895	268	2855	354	4012	52384	7331	33134	0	40465		11919	439	8	14895	1336	-4759	11919	4019	2689	-283	14809	0	0	3735	2748	2464
0	NMC	2017	31 Dec 2017	607	1157	47	1811	181	519	202	226	2939	704	1091	0	1794		1145	32	55	603	493	-38	1145	278	-444	-227	1603	968	635	274	210	209
1	NMC	2016	31 Dec 2016	459	653	57	1169	144	374	480	149	2317	660	708	0	1368		949	32	42	436	492	-53	949	176	-194	349	1221	753	468	184	152	151
